edition_key,Year,City,Language,Format,Elements (Arithmetical Books),Elements (Geometrical Books),Geometrical Dotted Lines,Token Lines,"Other ""Dotted"" Lines",Has dotted diagrams in the wide sense,RAW Dotted lines,Lines classified,Notes,Has diagrams,Reprint of,Final Architecture,Final Arithmetic,Final Astronomy,Final Cartography,Final Commercial Mathematics,Final Construction,Final Cosmography,Final Geography,Final Gnomonics & Horology,Final Instrument Construction,Final Instrument Use,Final Mechanics,Final Military Engineering,Final Music Theory,Final Navigation,Final Perspective,Final Practical Geometry,Final Surveying,Final Theoretical Mathematics,Final Trigonometry
ustc-16,1604,Paris,FRENCH,,,,Geometrical,,,Yes,Geometrical,Yes,https://www.proquest.com/docview/2090307959?sourcetype=Books&imgSeq=123,TRUE,,unrelated,unrelated,primary,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,primary,primary,unrelated,unrelated,unrelated,primary,unrelated,secondary,unrelated,unrelated,unrelated
bib-6,1604,Rome,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-103,1604,Frankfurt,GERMAN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
YB32U5,1604,Leiden,FRENCH,2,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-8,1605,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-22,1605,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-43,1605,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-32,1605,London,ENGLISH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-63,1605,Leiden,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
N61RR8,1605,Leiden,DUTCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-149,1606,Milan,"ITALIAN, LATIN",,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-274,1607,Padua,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-14,1608,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-54,1608,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-213,1608,Rees,DUTCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-265,1609,Rotterdam,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
I9PE2Y,1609,Heidelberg,LATIN,2,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
KLSGAN,1610,Frankfurt,GERMAN,4,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-43,1611,Madrid,SPANISH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-184,1611,Leiden,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
JT4H92,1611,London,ENGLISH,2,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-1-1,1612,Lyon,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
9TXK4F,1612,Frankfurt,FRENCH,2,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
TDJC06,1612,Mainz,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-2,1613,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-18,1613,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-31,1613,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
Hardy-3,1613,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-72,1613,Herborn,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-220,1613,London,ENGLISH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
YSF4K5,1613,Antwerp,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-12,1614,The Hague,FRENCH,,,,,,,Unclassified,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
bib-183,1614,Franeker,DUTCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
77RUJE,1614,The Hague,LATIN,2,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
Leiden_1615,1615,Leiden,LATIN,,,,,,,Unclassified,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
bib-60,1615,Venice,ITALIAN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-68,1615,Paris,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-187,1615,Leiden,DUTCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-189,1615,Leiden,DUTCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
GDC2CP,1615,Paris,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
Z26G13,1615,"Nuremberg, Leipzig",GERMAN,2,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
UX662Y,1616,Augsburg,GERMAN,2,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-3,1617,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-108,1617,Hanau,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
EN496R,1617,Amsterdam,FRENCH,2,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
NYJL4C,1617,Edinburgh,LATIN,12,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-33,1618,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-56,1618,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-59,1618,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-16-3,1618,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-62,1618,Nuremberg,GERMAN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
RH6KEE,1618,Leiden,FRENCH,2,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-57,1619,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-16-4,1619,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-188,1619,Leiden,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
Bologna_1620,1620,Bologna,ITALIAN,,,,,,,Not relevant (no diagrrams in edition),,,,FALSE,,,,,,,,,,,,,,,,,,,,,
ustc-55,1620,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-58,1620,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
Arnhem_1620,1620,Arnhem,LATIN,,,,,,,Unclassified,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
MorisS-16-5,1620,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-16-6,1620,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
XCQGKZ,1620,Milan,ITALIAN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
UQI2BV,1620,Strasbourg,LATIN,4,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
OGXS5A,1620,Lyon,LATIN,4,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-39,1621,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-61,1621,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-62,1621,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-106,1621,Hanau,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-36,1622,Rouen,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-20-5,1622,Pont-à-Mousson,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-60,1623,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-16-1,1623,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-16-7,1623,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-73,1623,Herborn,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-275,1623,Franeker,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
G5IUDY,1623,Nuremberg,GERMAN,4,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
HFRLRC,1623,The Hague,DUTCH,2,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-11,1624,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-21,1624,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-51,1624,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-124,1624,Rome,ITALIAN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
Strasbourg_1625,1625,Strasbourg,LATIN,,,,,,,Unclassified,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
ustc-4,1625,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-268,1625,Amsterdam,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-269,1625,Leiden,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
93LJS8,1625,Firenze,ITALIAN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
OQE4ZD,1625,Augsburg,GERMAN,2,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
G2T7OK,1625,The Hague,FRENCH,2,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
T3UM3R,1625,Venice,ITALIAN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MMJVXG,1625,Leiden,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
Paris_1626,1626,Paris,FRENCH,4,,,,,,Not relevant (no diagrrams in edition),,,,FALSE,,,,,,,,,,,,,,,,,,,,,
ustc-9,1626,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-10,1626,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-23,1626,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-38,1626,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-50,1626,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-14-1,1626,The Hague,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-20-6,1626,Pont-à-Mousson,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-21-1,1626,Paris,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-182,1626,Leiden,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
VRHOHN,1626,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
OQBIL8,1626,Augsburg,GERMAN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
4C287U,1626,The Hague,FRENCH,12,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-26,1627,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-40,1627,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-16-10,1627,Lyon,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-21-2,1627,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-30,1627,Zurich,GERMAN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-97,1627,Naples,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-130,1627,Frankfurt,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
5ZF83O,1627,The Hague,FRENCH,12,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
WOQG2Q,1627,Amsterdam,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
Jena_1628,1628,Jena,GERMAN,,,,,,,Unclassified,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
bib-70,1628,Lyon,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-180,1628,Rotterdam,DUTCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-6,1629,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-14-3,1629,Amsterdam,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
Bologna_1629a,1629,Bologna,LATIN,,,,,,,Not relevant (no diagrrams in edition),,,,FALSE,,,,,,,,,,,,,,,,,,,,,
XAFNOE,1629,Frankfurt,GERMAN,2,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
BFI81M,1629,Padua,ITALIAN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
WNYVAP,1629,The Hague,FRENCH,12,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
136K7I,1629,Amsterdam,FRENCH,4,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-15,1630,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-41,1630,Paris,FRENCH,,,,,,,Unclassified,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
ustc-47,1630,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-48,1630,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-49,1630,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-15-1,1630,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-16-11,1630,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-23-1,1630,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-116,1630,Florence,ITALIAN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-117,1630,Amsterdam,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ABSZLW,1630,Amsterdam,GERMAN,4,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
XOIASP,1630,Paris,FRENCH,8,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-28,1631,Rouen,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-22-2,1631,Paris,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-23-2,1631,Paris,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-28-1,1631,Brussels,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
GD0NV0,1631,Rome,LATIN,4,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
EFXRG3,1631,Paris,FRENCH,8,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-27,1632,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-52,1632,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-13-1,1632,Paris,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-22-3,1633,Paris,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
AVXGNJ,1633,Ulm,GERMAN,4,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
L8FLF5,1633,Paris,FRENCH,8,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
Innsbruck_1634,1634,Innsbruck,LATIN,,,,,,,Unclassified,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
ustc-5,1634,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-24,1634,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-34,1634,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-45,1634,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-21-5,1634,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-21-6,1634,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-26-1,1634,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-21-4,1634,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-136,1634,Leiden,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-218,1634,London,ENGLISH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-221,1634,London,ENGLISH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-25,1635,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
Innsbruck_1636,1636,Innsbruck,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-12,1636,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-2-1,1636,Paris,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-21-7,1636,Paris,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-21-8,1636,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-27-1,1636,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-8-2,1636,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-9-3,1637,Leiden,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-3-1,1637,Reims,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-46,1638,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-5-1,1638,Paris,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-21-9,1638,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-24-1,1638,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-15-2,1638,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-118,1638,Amsterdam,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
VQDBOK,1638,Paris,FRENCH,8,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
BCYM68,1638,Paris,FRENCH,2,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
GDIHEX,1638,Ravenna,ITALIAN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-7,1639,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-13,1639,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-5-2,1639,Amsterdam,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-8-3,1639,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-37,1639,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-98,1639,Naples,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-1,1640,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-30,1640,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-35,1640,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-63,1640,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-22-4,1640,Paris,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
66HH5T,1640,Paris,FRENCH,8,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-20,1641,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-24-2,1641,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
Hardy-6,1641,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-134,1641,Nuremberg,GERMAN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-138,1641,Louvain,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-179,1641,Haarlem,DUTCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-13-2,1642,Paris,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-13-3,1642,Paris,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-17-3,1642,Paris,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
35H84Y,1642,Bologna,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
AWKSO4,1642,Paris,FRENCH,4,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
3WV6N7,1642,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-3-2,1643,Paris,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-4-1,1643,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-4-2,1643,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
Hardy-1,1643,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
Hardy-2,1643,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
Hardy-4,1643,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-51,1643,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
22INUJ,1643,Paris,FRENCH,4,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MM0YD0,1643,Paris,FRENCH,8,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-19,1644,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-21-10,1644,Paris,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-21-11,1644,Paris,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-27-2,1644,Paris,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
Hardy-5,1644,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-140,1644,Arnhem,DUTCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
DA54XK,1644,Annecy,FRENCH,12,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
QR4DDA,1644,Paris,FRENCH,4,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-4-3,1645,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-5-3,1645,Paris,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-271,1645,Middelburg,DUTCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
VT5JVX,1645,Venice,ITALIAN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-53,1646,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-10-1,1646,Lyon,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-13-4,1646,Paris,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
MorisS-24-3,1646,Paris,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-31,1646,Zurich,GERMAN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-61,1646,Leiden,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-69,1646,Leiden,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-75,1646,Zurich,GERMAN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-119,1646,Amsterdam,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
bib-201,1646,Franeker,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
N1D1J1,1646,Rome,LATIN,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
99CARP,1646,Paris,LATIN,2,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
ustc-17,1647,Paris,FRENCH,,,,,,,Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,
