classification_key,year,city,language,primary_classes,secondary_classes,euclid_elements_dominant_mode,base_content,elements_designation,references_to_euclid,rich_claim_text_raw,rich_social_text_raw
Rotterdam_1681,1681,Rotterdam,DUTCH,,Practical Geometry,euclid_composite_workshop,De ses eerste Boecken EUCLIDIS,De ses eerste Boecken EUCLIDIS,EUCLIDIS,"by-gevoeght | Over-geset | verklaert | uyt-geleydt | oversien | verbetert | vermeerdert | alle leer-gierige Liefhebbers der selver vrye Konste | De ses eerste Boecken EUCLIDIS | Van de beginselen ende fondamenten der Geometrie | Desen laetsten druck, van nieuws oversien ende verbetert | Landt-meter ende Wijn-roeyer der Stadt LEYDEN | De ses eerste Boecken EUCLIDIS | eenige nut-tigheden | Specien in Geometrische figuren | by-gevoegde nuttigheden | EUCLIDIS",alle leer-gierige Liefhebbers der selver vrye Konste | Landt-meter ende Wijn-roeyer der Stadt LEYDEN
bib-104,1681,Rome,LATIN,,,euclid_no_primary_subject,tribus Libris Euclidis,tribus Libris Euclidis,Euclidis,solemniter propositum | solutum | Omnibus totius Orbis Geometris | tribus Libris Euclidis | CANONICO | tribus Libris Euclidis | Euclidis,Omnibus totius Orbis Geometris | Universitate Pragensi | Universitate Romana | Seminarii Romani Coniurctoris | CANONICO | D. LIVIVM ODESCALCVM
Paris_1682,1682,Paris,FRENCH,,,euclid_utility_public,LES ELEMENS D’EUCLIDE,LES ELEMENS D’EUCLIDE,EUCLIDE,LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | de la Compagnie de JESUS | LES ELEMENS D’EUCLIDE | EUCLIDE,Compagnie de JESUS | de la Compagnie de JESUS
Lausanne_1683,1683,Lausanne,FRENCH,,,euclid_composite_workshop,LES ELEMENS D’EUCLIDE,LES ELEMENS D’EUCLIDE,EUCLIDE,EXPLIQVEZ | LES ELEMENS D’EUCLIDE | EXPLIQVEZ D’UNE MANIERE nouvelle & tres facile | AVEC L’VSAGE DE CHAQVE Proposition pour toutes les parties des Mathematiques | P | LES ELEMENS D’EUCLIDE | AVEC L’VSAGE DE CHAQVE Proposition | EUCLIDE,P
Paris_1683,1683,Paris,FRENCH,,,euclid_utility_public,LES ELEMENS D’EUCLIDE,LES ELEMENS D’EUCLIDE,EUCLIDE,EXPLIQUEZ | LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | de la Compagnie de JESUS | LES ELEMENS D’EUCLIDE | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | EUCLIDE,Compagnie de JESUS | de la Compagnie de JESUS
Rouen_and_Paris_1683,1683,"Rouen, Paris",FRENCH,,,euclid_composite_workshop,LES QUINZE LIVRES DES ELEMENS GEOMETRIQUES D’EUCLIDE,LES QUINZE LIVRES DES ELEMENS GEOMETRIQUES D’EUCLIDE,D’EUCLIDE,Traduits | commentez | Reveuë | augmentée | LES QUINZE LIVRES DES ELEMENS GEOMETRIQUES D’EUCLIDE | DERNIERE EDITION | Mathematicien | LES QUINZE LIVRES DES ELEMENS GEOMETRIQUES D’EUCLIDE | plusieurs figures | du Livre des DONNEZ du même Auteur | Livre des DONNEZ | D’EUCLIDE,Mathematicien
London_1685,1685,London,LATIN,,,euclid_procedural_pedagogical,EUCLIDIS ELEMENTORUM Libri XV,EUCLIDIS ELEMENTORUM Libri XV,EUCLIDIS,"breviter demonstrati | purgati | nunc demum purgati | EUCLIDIS ELEMENTORUM Libri XV | breviter demonstrati | Et prioribus mendis typographicis nunc demum purgati | Cantabrigiensis, Coll. TRIN. Soc | EUCLIDIS ELEMENTORUM Libri XV | EUCLIDIS","Coll. TRIN. Soc | Cantabrigiensis, Coll. TRIN. Soc"
London_1685a,1685,London,ENGLISH,,,euclid_composite_workshop,THE ELEMENTS OF EUCLID,THE ELEMENTS OF EUCLID,EUCLID | EVCLID,"Explained | Demonstrated | Done out of | Corrected | Augmented | Illustrated | THE ELEMENTS OF EUCLID | Explained and Demonstrated in a New and most easie Method. With the USES of each PROPOSI-TION In all the Parts of the MATHEMATICKS | Done out of FRENCH, Corrected and Augmented | a Jesuite | THE ELEMENTS OF EUCLID | Illustrated with Nine Copper Plates | the Effigies of EVCLID | FRENCH | EUCLID | EVCLID",a Jesuite
Oxford_1685,1685,Oxford,ENGLISH,,,euclid_utility_public,THE ELEMENTS OF EUCLID,THE ELEMENTS OF EUCLID,EUCLID,"Explain’d | Written | done | purg’d | THE ELEMENTS OF EUCLID | Explain’d, in a new, but most easie method, Together with The Use of every Proposition through all parts of the Mathematicks | purg’d from a multitude of Errors, which had escap’d in the Original | Exccellent Math-ematician | of the So-ciety of JESUS | THE ELEMENTS OF EUCLID | The Use of every Proposition through all parts of the Mathematicks | French | English | EUCLID",So-ciety of JESUS | Exccellent Math-ematician | of the So-ciety of JESUS
Paris_1685,1685,Paris,FRENCH,,,euclid_procedural_pedagogical,LES ELEMENS DE GEOMETRIE OU DE LA MESURE DU CORPS,LES ELEMENS DE GEOMETRIE OU DE LA MESURE DU CORPS,Euclide,"LES ELEMENS DE GEOMETRIE OU DE LA MESURE DU CORPS | Qui comprennent tout ce qu’Euclide, en a enseigné: Les plus belles propositions d’Archimede & l’Analyse | MY, Prêtre de l’Oratoire | Archimede | LES ELEMENS DE GEOMETRIE OU DE LA MESURE DU CORPS | Euclide","l’Oratoire | MY, Prêtre de l’Oratoire | Archimede"
Bologna_1686,1686,Bologna,ITALIAN,,,euclid_humanist_transfer,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,EVCLIDE,Tradotti | DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri | DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri | Italiana | EVCLIDE,SENATO DI BOLOGNA | SENATO DI BOLOGNA
Paris_1690,1690,Paris,FRENCH,,,euclid_utility_public,LES ELEMENS D’EUCLIDE,LES ELEMENS D’EUCLIDE,D’EUCLIDE,Reveuë | corrigée | LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | de la Compagnie de JESUS | LES ELEMENS D’EUCLIDE | D’EUCLIDE,Compagnie de JESUS | de la Compagnie de JESUS
Siena_1691,1691,Siena,LATIN,,,euclid_no_primary_subject,ELEMENTA EVCLIDIS,ELEMENTA EVCLIDIS,EVCLIDIS,succinctè demonstrata | Ad usum NOVÆ ACADEMIÆ NO- BILIVM SENENSIVM | ELEMENTA EVCLIDIS | Carmelitam Consentinum | ELEMENTA EVCLIDIS | EVCLIDIS,Ad usum NOVÆ ACADEMIÆ NO- BILIVM SENENSIVM | NOVÆ ACADEMIÆ NOBILIVM SENENSIVM | Carmelitam Consentinum | PRINCIPEM IOANNEM GASTONEM
Leiden_1692,1692,Leiden,LATIN,,,euclid_procedural_pedagogical,EUCLIDIS ELEMENTORUM SEX LIBRI PRIORES,EUCLIDIS ELEMENTORUM SEX LIBRI PRIORES,EUCLIDIS,ADORNATI | EUCLIDIS ELEMENTORUM SEX LIBRI PRIORES | Magnam partem novis demonstrationibus ADORNATI | STVDIO | OPERA & STVDIO | EUCLIDIS ELEMENTORUM SEX LIBRI PRIORES | novis demonstrationibus | Magnam partem novis demonstrationibus ADORNATI | EUCLIDIS,STVDIO | OPERA & STVDIO
Bologna_1693,1693,Bologna,LATIN,,,euclid_method_access,"PLANORVM, AC SOLIDORVM EVCLIDIS ELEMENTA","PLANORVM, AC SOLIDORVM EVCLIDIS ELEMENTA",EVCLIDIS,"explicata | PLANORVM, AC SOLIDORVM EVCLIDIS ELEMENTA | Facilioribus Auctorum demonstrationibus | PHILOSOPHIÆ DOCT | PLANORVM, AC SOLIDORVM EVCLIDIS ELEMENTA | Facilioribus Auctorum demonstrationibus | EVCLIDIS",Vniuersali Studio Bononiæ Scientiarum | SENATUS BONONIEN | PHILOSOPHIÆ DOCT
Paris_1697,1697,Paris,"FRENCH, LATIN",,,euclid_no_primary_subject,les Elemens d’Euclide,les Elemens d’Euclide,Euclide,REVEUE | CORRIGE'E | un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | les Elemens d’Euclide | NOUVELLE EDITION REVEUE ET CORRIGE'E | Professeur des Mathematiques | les Elemens d’Euclide | Euclide,un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | Professeur des Mathematiques
Kiel_and_Leipzig_1699,1699,"Kiel, Leipzig",GERMAN,,,euclid_no_primary_subject,EUCLIDES,EUCLIDES,EUCLIDES,"vorgestellter | eingerichtet | EUCLIDES | Dessen VI. erste Bücher auf sonderbahre und sehr leichte Art, Mit Algebraischen, oder aus der neuesten Löse-Kunst entlehneten Zeichen, also dass man deroselben Beweiss auch in andern Sprachen gebrauchen kan | JCti, Bey der Hoch-Fürstl. Holst. Universität Codic. und Mathematum Prof | EUCLIDES | Mit Algebraischen, oder aus der neuesten Löse-Kunst entlehneten Zeichen | auch des II. Buchs Vorträge nebst der gemeinen, auff Algebraische Ahrt beweisen | Teutscher | EUCLIDES","Universität Codic | JCti, Bey der Hoch-Fürstl. Holst. Universität Codic. und Mathematum Prof"
Oxford_London_1700,1700,"Oxford, London",ENGLISH,,,euclid_utility_public,THE ELEMENTS OF EUCLID,THE ELEMENTS OF EUCLID,EUCLID,"Explain’d | Written in French | Now made English | Errors Corrected | THE ELEMENTS OF EUCLID | Explain’d, In a New, but most Easie Method: Together with The Use of every Proposition through all parts of the Mathematicks | The Third Edition | Now made English, and a multitude of Errors Corrected, which had escap’d in the Original | that Excellent Mathematician | of the Society of JESUS | THE ELEMENTS OF EUCLID | Together with The Use of every Proposition through all parts of the Mathematicks | French | English | EUCLID",Society of JESUS | that Excellent Mathematician | of the Society of JESUS
Naples_1701,1701,Naples,LATIN,,,euclid_method_access,ELEMENTA EUCLIDIS,ELEMENTA EUCLIDIS,EUCLIDIS,"reco- gnita | emendata | ELEMENTA EUCLIDIS | Novâ methodô, & compendiariè olim demonstrata | NUNC VERÒ Ab ipso eodem Auctore recognita, & emendata | CARMELITAM CONSENTINUM | ELEMENTA EUCLIDIS | EUCLIDIS",CARMELITAM CONSENTINUM | CARMELITAM CONSENTINUM
Oxford_1701,1701,Oxford,LATIN,,,euclid_humanist_transfer,"EUCLIDIS ELEMENTORUM LIBRI PRIORES SEX, ITEM UNDECIMUS & DUODECIMUS","EUCLIDIS ELEMENTORUM LIBRI PRIORES SEX, ITEM UNDECIMUS & DUODECIMUS",EUCLIDIS,"Juventutis Academicæ | EUCLIDIS ELEMENTORUM LIBRI PRIORES SEX, ITEM UNDECIMUS & DUODECIMUS | Ex Versione Latina FEDERICI COMMANDINI | EUCLIDIS ELEMENTORUM LIBRI PRIORES SEX, ITEM UNDECIMUS & DUODECIMUS | Latina | Latina | EUCLIDIS",Juventutis Academicæ
Milan_1702,1702,Milan,ITALIAN,,,euclid_sparse_canonical,I PRIMI SEI LIBRI D’EVCLIDE,I PRIMI SEI LIBRI D’EVCLIDE,EVCLIDE,TRATTI | I PRIMI SEI LIBRI D’EVCLIDE | I PRIMI SEI LIBRI D’EVCLIDE | IN VOLGARE | EVCLIDE,
London_1703,1703,London,ENGLISH,,,euclid_composite_workshop,THE ELEMENTS OF EUCLID,THE ELEMENTS OF EUCLID,EUCLID | EVCLID,Explained | Demonstrated | Corrected | Augmented | Illustrated | Done | THE ELEMENTS OF EUCLID | Explained and Demonstrated in a New and most Easy Method | With the Uses of each PROPOSI-TION In all the Parts of the MATHEMATICKS | Corrected and Augmented | Done out of FRENCH | a Jesuite | THE ELEMENTS OF EUCLID | Illustrated with Nine Copper Plates | the Effigies of EVCLID | FRENCH | EUCLID | EVCLID,a Jesuite
473J72,1726,London,ENGLISH,,,euclid_method_access,"THE Six First, Together with the Eleventh and Twelfth Books OF EUCLID's ELEMENTS","Six First, Together with the Eleventh and Twelfth Books OF EUCLID's ELEMENTS",EUCLID's,"Demonstrated | THE Six First, Together with the Eleventh and Twelfth Books OF EUCLID's ELEMENTS | Demonstrated after a New, Plain, and Eafie METHOD | A. M | Six First, Together with the Eleventh and Twelfth Books OF EUCLID's ELEMENTS | EUCLID's",A. M
QX7XH4,1756,Glasgow,ENGLISH,,,euclid_procedural_pedagogical,THE ELEMENTS OF EUCLID,"THE ELEMENTS OF EUCLID, VIZ. THE FIRST SIX BOOKS, TOGETHER WITH THE ELEVENTH AND TWELFTH",EUCLID | EUCLID's,"Corrected | Restored | THE ELEMENTS OF EUCLID | THE FIRST SIX BOOKS, TOGETHER WITH THE ELEVENTH AND TWELFTH | In this Edition | M.D | Professor of Mathematics in the University of Glasgow | THEON | THE ELEMENTS OF EUCLID, VIZ. THE FIRST SIX BOOKS, TOGETHER WITH THE ELEVENTH AND TWELFTH | EUCLID | EUCLID's",University of Glasgow | M.D | Professor of Mathematics in the University of Glasgow | THEON
Naples_1810,1810,Naples,ITALIAN,,,euclid_procedural_pedagogical,I PRIMI SEI LIBRI DEGLI ELEMENTI DI EUCLIDE | I primi sei libri degli elementi di Euclide,I PRIMI SEI LIBRI DEGLI ELEMENTI DI EUCLIDE | I primi sei libri degli elementi di Euclide,EUCLIDE | stesso Euclide | Euclide,"Emendati | I PRIMI SEI LIBRI DEGLI ELEMENTI DI EUCLIDE | I primi sei libri degli elementi di Euclide | Emendati in que’ luoghi in cui una voce furono vi- ziati da Teone, o da altri; e ne’ quali sono resti- tuite alcune definizioni, e dimostrazioni dello stesso Euclide | QUARTA EDIZIONE | Teone | I PRIMI SEI LIBRI DEGLI ELEMENTI DI EUCLIDE | I primi sei libri degli elementi di Euclide | alcune definizioni, e dimostrazioni | EUCLIDE | stesso Euclide | Euclide",Teone
Nuremberg_1821,1821,Nuremberg,GERMAN,,,euclid_no_primary_subject,des ersten Buchs der Elemente Euclid’s,ersten Buchs der Elemente Euclid’s,Euclid’s,des ersten Buchs der Elemente Euclid’s | Professor der Mathematik am Gymnasium zu Nürnberg | ersten Buchs der Elemente Euclid’s | Mit einer Kupfertafel | Euclid’s,Gymnasium zu Nürnberg | Professor der Mathematik am Gymnasium zu Nürnberg
Berlin_1824,1824,Berlin,"GREEK, LATIN",,,euclid_composite_workshop,LIBRI SEX PRIORES,EUCLIDIS ELEMENTORUM LIBRI SEX PRIORES,EUCLIDIS,"EDIDIT | COMPLECTENS | LIBRI SEX PRIORES | COMPLECTENS LIBR. I–III | GYMNASII STUTTGARDIANI RECTOR | PFLEIDERERI | EUCLIDIS ELEMENTORUM LIBRI SEX PRIORES | COMMENTARIO E SCRIPTIS VETERUM AC RECENTIORUM MATHEMATICORUM ET PFLEIDERERI, MAXIME ILLUSTRATI | CUM X. TABULIS | GRAECE | LATINE | GRAECE | LATINE | EUCLIDIS",GYMNASII STUTTGARDIANI | GYMNASII STUTTGARDIANI RECTOR | PFLEIDERERI
Venice_1482,1482,Venice,LATIN,Theoretical Mathematics,,euclid_sparse_canonical,Elementorum Euclidis megarensis,Elementorum Euclidis megarensis,Euclidis,Elementorum Euclidis megarensis | in artem geometrie incipit | Elementorum Euclidis megarensis | Euclidis megarensis | Euclidis,
Venice_1498,1498,Venice,LATIN,Theoretical Mathematics,,euclid_sparse_canonical,Euclidis quartus decimus elementorum,Euclidis quartus decimus elementorum,Euclidis | euclidis,Interprete | Euclidis quartus decimus elementorum | Nicephori | Hypsiclis | Euclidis quartus decimus elementorum | Hypsiclis interpretatio | Nicephori logica | Georgij valle libellus de argumentis | Nicephori logica | Georgij valle libellus de argumentis | Euclidis | euclidis,Nicephori | Hypsiclis
Paris_1549,1549,Paris,LATIN,Theoretical Mathematics,,euclid_sparse_canonical,EVCLIDES | EVCLIDIS elementorum libri QVINDECIM,EVCLIDES | EVCLIDIS elementorum libri QVINDECIM,EVCLIDIS,EVCLIDES | EVCLIDIS elementorum libri QVINDECIM | EVCLIDES | EVCLIDIS elementorum libri QVINDECIM | EVCLIDIS,
Augsburg_1555,1555,Augsburg,GERMAN,Arithmetic | Theoretical Mathematics,,euclid_utility_public,"das sibend, acht und neünt büch, des hochberümbten Mathematici Euclidis Megarensis","das sibend, acht und neünt büch, des hochberümbten Mathematici Euclidis Megarensis",Euclidis | Eu-clidis,"auß dem latein ins teütsch gebracht | mit gemainen exemplen also illustrirt | allen den, so die kunst der Rechnung liebhaben | das sibend, acht und neünt büch, des hochberümbten Mathematici Euclidis Megarensis | in welchen der operationen vnnd regulen aller gemainer rechnung, vrsach grund vnd fundament, angezaigt wirt | Mag-istrum | der löblichen vniuersitet zü Tübingen des Eu-clidis vnd Arithmetic Ordinarien | das sibend, acht und neünt büch, des hochberümbten Mathematici Euclidis Megarensis | mit gemainen exemplen also illustrirt | des hochberümbten Mathematici Euclidis Megarensis | latein | teütsch | Euclidis | Eu-clidis","allen den, so die kunst der Rechnung liebhaben | vniuersitet zü Tübingen | Mag-istrum | der löblichen vniuersitet zü Tübingen des Eu-clidis vnd Arithmetic Ordinarien"
Valencia_1569,1569,Valencia,LATIN,Theoretical Mathematics,,euclid_sparse_canonical,"ELEMENTA Arithmeticæ, ac GEOMETRIÆ","ELEMENTA Arithmeticæ, ac GEOMETRIÆ",Euclide,"AD disciplinas omnes | ELEMENTA Arithmeticæ, ac GEOMETRIÆ | Aristoteleam praesertim Dialecticam, ac Philosophiam apprime necessaria | auctor | ELEMENTA Arithmeticæ, ac GEOMETRIÆ | Euclide",AD disciplinas omnes | auctor
bib-129,1569,Basel,LATIN,Arithmetic,,euclid_sparse_canonical,GEOMETRIAE SEPTEM ET VIGINTI,GEOMETRIAE SEPTEM ET VIGINTI,,GEOMETRIAE SEPTEM ET VIGINTI | GEOMETRIAE SEPTEM ET VIGINTI | ARITHMETICAE LIBRI DUO | ARITHMETICAE LIBRI DUO,
bib-24,1575,Bordeaux,LATIN,Theoretical Mathematics,,euclid_sparse_canonical,"ELEMENTI QVINCTI, ET SEXTI, EVCLIDIS","ELEMENTI QVINCTI, ET SEXTI, EVCLIDIS",EVCLIDIS,"INTERPRETATÆ | ELEMENTI QVINCTI, ET SEXTI, EVCLIDIS | DEFINITIONES | ELEMENTI QVINCTI, ET SEXTI, EVCLIDIS | EVCLIDIS",
bib-20,1599,Rome,ITALIAN,Practical Geometry,Architecture | Construction | Cosmography | Geography | Surveying,euclid_utility_public,Elementi d’Euclide,Elementi d’Euclide,Euclide,"TRATTA | descritta | Dichiarata | ad un buon Geometra | à Misuratori di terreni, di fabriche, et altri simili | à Geografi, Cosmografi, Architetti Civili, et Militari | à Bombardieri, Soldati privati, Capitani, Maestri di Campo | à qual si Voglia altra persona Virtuosa | Elementi d’Euclide | Mathematico eccellentissimo | Mathematico | Elementi d’Euclide | 150. Tavole di Rame | Euclide","ad un buon Geometra | à Misuratori di terreni, di fabriche, et altri simili | à Geografi, Cosmografi, Architetti Civili, et Militari | à Bombardieri, Soldati privati, Capitani, Maestri di Campo | à qual si Voglia altra persona Virtuosa | Mathematico eccellentissimo | Mathematico"
Leipzig_1607,1607,Leipzig,LATIN,Theoretical Mathematics,,euclid_sparse_canonical,EVCLIDIS OPTICA & CATOPTRICA,EVCLIDIS OPTICA & CATOPTRICA,EVCLIDIS,EVCLIDIS OPTICA & CATOPTRICA | D. Mathematum Professoris | EVCLIDIS OPTICA & CATOPTRICA | Programmate | EVCLIDIS,D. Mathematum Professoris
8DP4C1,1613,Bologna,ITALIAN,Practical Geometry,,euclid_sparse_canonical,I primi sei libri de gl’Elementi d’Euclide,I primi sei libri de gl’Elementi d’Euclide,Euclide,ridotti | I primi sei libri de gl’Elementi d’Euclide | I primi sei libri de gl’Elementi d’Euclide | Euclide,
ustc-58,1620,Paris,FRENCH,Practical Geometry,,euclid_sparse_canonical,QVATRE LIVRES,QVATRE LIVRES,,QVATRE LIVRES | DE LA GEOMETRIE PRATIQVE | Mathemat | QVATRE LIVRES,Mathemat
Nuremberg_1625,1625,Nuremberg,GERMAN,Practical Geometry,Instrument Use,euclid_utility_public,EUCLIDIS ELEMENTA PRACTICA,EUCLIDIS ELEMENTA PRACTICA,EUCLIDIS | Euclidis,dargegeben | Gedruckt | verlegt | Allen und jeden | EUCLIDIS ELEMENTA PRACTICA | Auszug aller Problematum und Haubarbeiten auß den 15. Büchern Euclidis | Churf. Sächs. Mathematicum und Inspectorn der Kunstkammer zu Dresden | EUCLIDIS ELEMENTA PRACTICA | Teutsche Sprach | EUCLIDIS | Euclidis,Allen und jeden | Kunstkammer zu Dresden | Churf. Sächs. Mathematicum und Inspectorn der Kunstkammer zu Dresden
bib-130,1627,Frankfurt,LATIN,Arithmetic,,euclid_sparse_canonical,ARITHMETICAE LIBRI DUO ET GEOMETRIAE SEPTEM ET VIGINTI,ARITHMETICAE LIBRI DUO ET GEOMETRIAE SEPTEM ET VIGINTI,,"recogniti | aucti | emendati | locupletati | ARITHMETICAE LIBRI DUO ET GEOMETRIAE SEPTEM ET VIGINTI | Dudum quidem à LAZARO SCHONERO recogniti & aucti, nunc vero in postrema hac editione in numeris locis emendati & locupletati | PHILOSOPHI CELEBER- RIMI, ELOQUENTIAE ET MATHE- MATICARUM DISCIPLINARUM Professoris Regii | LAZARO SCHONERO | ARITHMETICAE LIBRI DUO ET GEOMETRIAE SEPTEM ET VIGINTI | aucti | emendati | locupletati","PHILOSOPHI CELEBER- RIMI, ELOQUENTIAE ET MATHE- MATICARUM DISCIPLINARUM Professoris Regii | LAZARO SCHONERO"
bib-30,1627,Zurich,GERMAN,Practical Geometry | Theoretical Mathematics,Construction | Military Engineering | Surveying,euclid_utility_public,"Geometriae, Theoricae Et Practicae. XII. Bücher","Geometriae, Theoricae Et Practicae. XII. Bücher",Euclidis,"Allen Baw- und Kriegs verstendigen, Feldmessern | Geometriae, Theoricae Et Practicae. XII. Bücher | Inn welchen die Geometrischen Fundament Euclidis, unnd der selben gebrauch, auff das kürtzest, unnd leichtest, als in einem Handbuch beschriben werden | Geometriae, Theoricae Et Practicae. XII. Bücher | Euclidis","Allen Baw- und Kriegs verstendigen, Feldmessern"
Jena_1628,1628,Jena,GERMAN,Theoretical Mathematics,,euclid_sparse_canonical,Teutscher Eu- CLIDES,Teutscher Eu- CLIDES,Eu- CLIDES,"Teutscher Eu- CLIDES | Das ist, seiner GEOMETRIAE Erster Theil Von derselben Elementen | PROFESSORIS MATHEMATICI in der Universität Jehna | Teutscher Eu- CLIDES | Teutscher Eu- CLIDES | Eu- CLIDES",Universität Jehna | PROFESSORIS MATHEMATICI in der Universität Jehna
35H84Y,1642,Bologna,LATIN,Mechanics,Practical Geometry,euclid_utility_public,EVCLIDES APPLICATVS,EVCLIDES APPLICATVS,EVCLIDES | Euclideorum,"traducta | confirmata | refertum | ornatum | distributum | ACCESSIT | dicata | APPLICATVS | conditus | Philosophis Mathematicis, sed & Physicis, Anatomicis, Militaribus viris, Machinariæ, Musicæ, Poeticæ, Agrariæ, Architecturæ, Mercaturæ professoribus | EVCLIDES APPLICATVS | E SOC. IESV, olim in publico Parmensi Gymnasio Philosophiæ Mathematicæ, & Philosophiæ Moralis Lectore | EVCLIDES APPLICATVS | noua pleraque Machinamenta ad vsus eximios traducta | facillimis demonstrationibus confirmata | curiosissimis inuentis refertum | figurarum æreis formis cusarum numerosa | speciosa varietate ornatum | gemino copiosissimo Indice | EVCLIDES APPLICATVS | EVCLIDES APPLICATVS | EVCLIDES | Euclideorum","Philosophis Mathematicis, sed & Physicis, Anatomicis, Militaribus viris, Machinariæ, Musicæ, Poeticæ, Agrariæ, Architecturæ, Mercaturæ professoribus | Coll. Tridentino Soc. Iesu | Parmensi Gymnasio Philosophiæ Mathematicæ | Parmensi Gymnasio | E SOC. IESV, olim in publico Parmensi Gymnasio Philosophiæ Mathematicæ, & Philosophiæ Moralis Lectore | MATTHIAE GALASSO SAC. ROM. IMPERII COMITI, &c"
Hardy-1,1643,Paris,FRENCH,Theoretical Mathematics,,euclid_sparse_canonical,,,Euclide,REFVTATION | Mr de Laleu | Euclide,Mr de Laleu
Hardy-5,1644,Paris,FRENCH,Theoretical Mathematics,,euclid_sparse_canonical,du premier livre d'Euclide,du premier livre d'Euclide,Euclide,du premier livre d'Euclide | M. de Laleu | du premier livre d'Euclide | Euclide,M. de Laleu
bib-31,1646,Zurich,GERMAN,Instrument Use | Practical Geometry | Surveying | Theoretical Mathematics,Construction,euclid_utility_public,GEOMETRIA Theorica und Practica Oder Von dem Feldmäsßen 14. Bücher,14. Bücher,Euclidis,"beschrieben | begriffen | Allen | GEOMETRIA Theorica und Practica Oder Von dem Feldmäsßen 14. Bücher | In welchen die Fundament Euclidis und derselbigen Gebrauch, im Abmäsßen und Visieren aller Längen, Flächen und Cörpern: mit dem Feld-, Wein-, Treit- und Gwicht-Ruthen begriffen | Hauptmann | Zürcher | 14. Bücher | Fundament Euclidis | Euclidis",Allen | Hauptmann | Zürcher
bib-75,1646,Zurich,GERMAN,Practical Geometry | Surveying | Theoretical Mathematics,Construction,euclid_utility_public,GEOMETRIÆ  Theoricæ et Practicæ Oder Von dem Feldmassen 14. Bücher,GEOMETRIÆ Theoricæ et Practicæ Oder Von dem Feldmassen 14. Bücher,Euclidis,beschrieben | vermehrt | Allen | GEOMETRIÆ  Theoricæ et Practicæ Oder Von dem Feldmassen 14. Bücher | In welchen die Fundament Euclidis und derselbigen gebrauch/im abmassen und visieren aller Längen/ Flächen und Cörper | jetz von newem umb zwen Bücher vermehrt | Hauptmann | GEOMETRIÆ Theoricæ et Practicæ Oder Von dem Feldmassen 14. Bücher | mit dem Feld-Wein-Trer und Gwichtrübten begriffen | Euclidis,Allen | Hauptmann
P3JCQH,1652,Leuven,LATIN,Arithmetic,,euclid_sparse_canonical,EUCLIDES LOGISTICUS,,EUCLIDES | EUCLIDEA,EUCLIDES LOGISTICUS | DE RATIONE EUCLIDEA | EUCLIDES LOGISTICUS | EUCLIDES | EUCLIDEA,
Madrid_1665,1665,Madrid,SPANISH,Architecture | Practical Geometry | Theoretical Mathematics,,euclid_utility_public,QVINTO Y SEPTIMO libros de Euclides,QVINTO Y SEPTIMO libros de Euclides,Euclides,traduci-dos | aprobadas | Confirmadas | COMPVESTO | QVINTO Y SEPTIMO libros de Euclides | traduci-dos de latín en Romance | DE SAN Nicolas Augustino descalzo Architecto y Maestro de obras natural de la muy noble y coronada Villa de Madrid | Bouedas | Pichinas | QVINTO Y SEPTIMO libros de Euclides | LAS MEDIDAS DIFICILES DE Bouedas | las superficies y pies cubicos de Pichinas | LAS ORDENAN-ZAS DE La Imperial Ciudad de Toledo | LAS MEDIDAS DIFICILES DE Bouedas | las superficies y pies cubicos de Pichinas | LAS ORDENAN-ZAS DE La Imperial Ciudad de Toledo | latín | Romance | Euclides,La Imperial Ciudad de Toledo | Villa de Madrid | San Nicolas | DE SAN Nicolas Augustino descalzo Architecto y Maestro de obras natural de la muy noble y coronada Villa de Madrid | MI REDEMPTOR IESV CHRISTO | Bouedas | Pichinas
Lyon_1672,1672,Lyon,FRENCH,Theoretical Mathematics,,euclid_sparse_canonical,HVICT LIVRES DES ELEMENTS DEVCLIDE,HVICT LIVRES DES ELEMENTS DEVCLIDE,DEVCLIDE,RENDVS | HVICT LIVRES DES ELEMENTS DEVCLIDE | R. P | HVICT LIVRES DES ELEMENTS DEVCLIDE | DEVCLIDE,Compagnie de IESVS | R. P
