classification_key,year,city,language,short_title,elements_books_group,elements_designation,base_content,designation_type
Rouen_and_Paris_1685,1685,"Rouen, Paris",FRENCH,"Les quinze livres des Elemens geometriques d'Euclide; et son Livre des donnez avec des commentaires beaucoup plus amples & beaucoup plus faciles que dans les editions precedentes, et un Traité sommaire de l'algebre par le Sieur Henrion.",near_complete_or_expanded,LES QUINZE LIVRES DES ELEMENTS GEOMETRIQUES D’EUCLIDE | LES QUINZE LIVRES DES ELEMENS GEOMETRIQUES D’EUCLIDE,LES QUINZE LIVRES DES ELEMENTS GEOMETRIQUES D’EUCLIDE | LES QUINZE LIVRES DES ELEMENS GEOMETRIQUES D’EUCLIDE,Euclid + Elements designation
Seville_1576,1576,Seville,SPANISH,Los seis libros primeros de la geometría de Euclides,books_1_6,LOS SEIS LIBROS PRIMEROS DELA GEOMETRIA DE EVCLIDES,LOS SEIS LIBROS PRIMEROS DELA GEOMETRIA DE EVCLIDES,first-six-books Elements
Siena_1691,1691,Siena,LATIN,,near_complete_or_expanded,ELEMENTA EVCLIDIS,ELEMENTA EVCLIDIS,Euclid + Elements designation
Strasbourg_1538,1538,Strasbourg,"GREEK, LATIN",ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ ἐκ τῶν τοῦ ΘΕΩΝΟΣ συνουσιῶν τὸ πρῶτον,selected_later_books,ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ,ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ,Euclid without Elements wording
Strasbourg_1557,1557,Strasbourg,"GREEK, LATIN",,unknown_books,EVCLIDIS CATOPTRICA,EVCLIDIS CATOPTRICA,Euclidean corpus beyond Elements
Strasbourg_1559,1559,Strasbourg,"GREEK, LATIN",ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ ἐκ τῶν τοῦ Θέωνος συνουσιῶν τὸ πρῶτον,selected_later_books,ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ,ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ,Euclid without Elements wording
Strasbourg_1564,1564,Strasbourg,"GREEK, LATIN",Euclidis quindecim Elementorum Geometriae primum,selected_later_books,ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ | EVCLIDIS QVIN-DEcim Elementorum Geometriæ primum,ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ | EVCLIDIS QVIN-DEcim Elementorum Geometriæ primum,selected/later-book Elements
Strasbourg_1564a,1564,Strasbourg,"GREEK, LATIN",Euclides: Eukleidu Tōn Pente Kai Deka Stoicheiōn Ek Tōn Tu Theōnos synusiōn to deuteron,selected_later_books,,ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙ- ΧΕΙΩΝ | EVCLIDIS QVINDECIM elementorum Geometriae,selected/later-book Elements
Strasbourg_1564b,1564,Strasbourg,LATIN,PROPOSITIOnes reliquorum Librorum Geometriæ Euclidis,unknown_books,,PROPOSITIOnes reliquorum Librorum Geometriæ Euclidis,Euclid without Elements wording
Strasbourg_1566,1566,Strasbourg,"GREEK, LATIN",Analyseis geometricae sex librorum Euclidis,books_1_6,sex librorum Euclidis,sex librorum Euclidis,first-six-books Elements
Strasbourg_1570,1570,Strasbourg,"GREEK, LATIN",EVCLIDIS ELEMENTorum Liber primus,selected_later_books,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΤΟ ΠΡΩΤΟΝ | EVCLIDIS ELEMENTorum Liber primus,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΤΟ ΠΡΩΤΟΝ | EVCLIDIS ELEMENTorum Liber primus,Euclid + Elements designation
Strasbourg_1570a,1570,Strasbourg,"GREEK, LATIN",,near_complete_or_expanded,ΠΡΟΤΑΣΕΙΣ Στοιχείων | Propositiones. Elementorum,ΕΥΚΛΕΙΔΟΥ ΠΡΟΤΑΣΕΙΣ Στοιχείων | EVCLIDIS Propositiones. Elementorum,Euclid + Elements designation
Strasbourg_1571,1571,Strasbourg,LATIN,,selected_later_books,EVCLIDIS ELEMENTORVM Liber primus,EVCLIDIS ELEMENTORVM Liber primus,Euclid + Elements designation
Strasbourg_1571a,1571,Strasbourg,LATIN,,near_complete_or_expanded,EVCLIDIS OMNES OMNIVM LIBRORVM PROPOSITIOnes,EVCLIDIS OMNES OMNIVM LIBRORVM PROPOSITIOnes,Euclid without Elements wording
Strasbourg_1572,1572,Strasbourg,LATIN,,unknown_books,,SPHAERICAE DOCTRINÆ PROPOSITIONES GRÆCÆ ET LATInæ,other designation
Strasbourg_1599,1599,Strasbourg,LATIN,,selected_later_books_enunciations,EVCLIDIS ELE- MENTVM primum,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΠΡΩΤΟΝ | EVCLIDIS ELE- MENTVM primum,Euclid without Elements wording
T4DFPF,1558,Basel,LATIN,Euclidis megarensis mathematici clarissimi Elementorum geometricorum libri XV ,near_complete_or_expanded,Elementorum geometricorum libri XV,Elementorum geometricorum libri XV,Euclid + Elements designation
TTORPR,1528,Vienna,LATIN,Elementale geometricum ex Euclidis geometria,unknown_books,"ELEMENTA- LE GEOMETRICVM, EX EV- clidis Geometria","ELEMENTA- LE GEOMETRICVM, EX EV- clidis Geometria",Euclid + Elements designation
The_Hague_1690,1690,The Hague,FRENCH,,books_1_6,,,missing/unclear designation
The_Hague_1758,1758,The Hague,FRENCH,Elemens de geometrie contenant les six premiers livres d’Euclide,books_1_6_plus_solids,ELEMENS DE   GEOMETRIE,LES SIX PREMIERS LIVRES D’EUCLIDE,first-six-books Elements
Uppsala_1642,1642,Uppsala,LATIN,In geometriam Euclidis demonstrationum libri sex,books_1_6,IN GEOMETRIAM EUCLIDIS Demonstrationum LIBRI SEX,IN GEOMETRIAM EUCLIDIS Demonstrationum LIBRI SEX,first-six-books Elements
Uppsala_1741,1741,Uppsala,LATIN,Euclidis elementorum libri sex priores una cum undecimo et duodecimo,books_1_6_plus_solids,EUCLIDIS ELEMENTORUM   LIBRI SEX PRIORES,EUCLIDIS ELEMENTORUM   LIBRI SEX PRIORES,first-six-books Elements
Uppsala_1744,1744,Uppsala,SWEDISH,"Euclidis Elementa eller Grundeliga inledning til geometrien, til riksens ungdoms tienst på swenska språket utgifwen",books_1_6,EUCLIDIS ELEMENTA,EUCLIDIS ELEMENTA,Euclid + Elements designation
Urbino_1575,1575,Urbino,ITALIAN,De gli elementi d’Euclide libri quindici con gli scolii antichi,near_complete_or_expanded,DE GLI ELEMENTI D’EVCLIDE LIBRI QVINDICI,DE GLI ELEMENTI D’EVCLIDE LIBRI QVINDICI,Euclid + Elements designation
Utrecht_n.d,,Utrecht,DUTCH,De vijfthien boecken Euclides,near_complete_or_expanded,EVCLIDES,EVCLIDES,Euclid without Elements wording
Venice_1482,1482,Venice,LATIN,"Preclarissimus liber elementorum Euclidis perspicacissimi, in artem geometrie incipit quam foelicissime",near_complete_or_expanded,Elementorum Euclidis megarensis,Elementorum Euclidis megarensis,Euclid + Elements designation
Venice_1491,1491,Venice,LATIN,Opera,unknown_books,,,other designation
Venice_1498,1498,Venice,LATIN,,unknown_books,Euclidis quartus decimus elementorum,Euclidis quartus decimus elementorum,selected/later-book Elements
Venice_1498a,1498,Venice,LATIN,,selected_later_books,,Euclidis quartus decimus elementorum,selected/later-book Elements
Venice_1505,1505,Venice,LATIN,Euclidis megarensis philosophi platonici mathematicarum disciplinarum Ianitoris,near_complete_or_expanded,elementorum libros. xiij,elementorum libros. xiij,Euclid + Elements designation
Venice_1509,1509,Venice,LATIN,Euclidis megarensis philosophi acutissimi mathematicorumque omnium sine controversia principis opera,near_complete_or_expanded,Euclidis megarensis philosophi acutissimi mathematicorumque omnium sine controuersia principis opera,Euclidis megarensis philosophi acutissimi mathematicorumque omnium sine controuersia principis opera,Euclid without Elements wording
Venice_1565,1565,Venice,LATIN,"Euclide Megarense philosopho, solo introduttore delle scientie mathematice",near_complete_or_expanded,EVCLIDE MEGARENSE PHILOSOPHO | EVCLIDE MEGARENSE ACVTISSIMO PHILOSOPHO SOLO INTRODVTTORE DELLE SCIENTIE MATHEMATICE | EVCLIDE MEGARENSE ACVTISSIMO PHILOSOPHO,EVCLIDE MEGARENSE PHILOSOPHO | EVCLIDE MEGARENSE ACVTISSIMO PHILOSOPHO SOLO INTRODVTTORE DELLE SCIENTIE MATHEMATICE | EVCLIDE MEGARENSE ACVTISSIMO PHILOSOPHO,Euclid without Elements wording
Venice_1569,1569,Venice,LATIN,"Euclide megarense acutissimo philosopho, solo introduttore delle scientie mathematice",near_complete_or_expanded,,,Euclid without Elements wording
Venice_1575,1575,Venice,LATIN,Opuscula mathematica,selected_later_books,,Opuscula Mathematica,other designation
Venice_1603,1603,Venice,LATIN,,unknown_books,,,missing/unclear designation
Venice_1641,1641,Venice,LATIN,,books_1_6,EVCLIDIS ELEMENTORVM Libri VI,EVCLIDIS ELEMENTORVM Libri VI,Euclid + Elements designation
Venice_1647,1647,Venice,LATIN,,books_1_6,,,missing/unclear designation
Vicenza_1491,1491,Vicenza,LATIN,,near_complete_or_expanded,,,missing/unclear designation
Vienna_1694,1694,Vienna,GERMAN,Teutsch-Redender Euclides,books_1_6_plus_solids,Acht Bücher Von Denen An-fängen Der Meß-Künst,Acht Bücher Von Denen An-fängen Der Meß-Künst,Euclid without Elements wording
WWE4ON,1656,Leuven,LATIN,Arithmeticae theoria et praxis,unknown_books,,ARITHMETICÆ THEORIA ET PRAXIS,other designation
Wittenberg_1564,1564,Wittenberg,"GREEK, LATIN",Arithmetices Euclideae,selected_later_books,ARITHMETICES EVCLIDEAE LIBER PRIMVS,ARITHMETICES EVCLIDEAE LIBER PRIMVS,Euclid without Elements wording
Wittenberg_1609,1609,Wittenberg,LATIN,Euclidis elementorum libri XIII,books_1_13,EVCLIDIS ELEMENTORUM LIBRI XIII,EVCLIDIS ELEMENTORUM LIBRI XIII,Euclid + Elements designation
Wittenberg_1661,1661,Wittenberg,LATIN,"Euclidis Elementorum Libri XIII., Succinctis & perspicuis demonstrationibus comprehensi a D. Ambrosio Rhodio Kembergensi, Mathematum Super: Professore publico in Academia Leucorea: Editio novissima, priore Correctior & Emendatior",books_1_13,EUCLIDIS ELEMENTORUM LIBRI XIII,EUCLIDIS ELEMENTORUM LIBRI XIII,Euclid + Elements designation
Würzburg_1661,1661,Würzburg,LATIN,"Cursus mathematicus, sive Absoluta omnium mathematicarum disciplinarum encyclopaedia",books_1_6,,,other designation
ZNLALU,1560,Paris,FRENCH,L'arithmetique ,unknown_books,,L'ARITHMETIQVE de Gemme Phrison,other designation
ZQA6JR,1669,Rome,LATIN,Elementa geometriae planae,unknown_books,ELEMENTA GEOMETRIAE PLANAE,ELEMENTA GEOMETRIAE PLANAE,Elements language without Euclid
s.l_1650,1650,,LATIN,,books_1_6,,,missing/unclear designation
